Lang Class,Lang Subclass,Train Size,Model,Embd Dim,EarlyStop,Round #,Test Set,Accuracy,Recall,Precision
SP,SP8,1k,lstm,10,False,1,Test1,0.890999972820282,0.890999972820282,0.890999972820282
SP,SP8,1k,lstm,10,False,1,Test2,0.5299999713897705,0.5299999713897705,0.5299999713897705
SP,SP8,1k,lstm,10,True,1,Test1,0.8899999856948853,0.8899999856948853,0.8899999856948853
SP,SP8,1k,lstm,10,True,1,Test2,0.5759999752044678,0.5759999752044678,0.5759999752044678
SP,SP8,1k,lstm,10,False,2,Test1,0.8820000290870667,0.8820000290870667,0.8820000290870667
SP,SP8,1k,lstm,10,False,2,Test2,0.5220000147819519,0.5220000147819519,0.5220000147819519
SP,SP8,1k,lstm,10,True,2,Test1,0.8690000176429749,0.8690000176429749,0.8690000176429749
SP,SP8,1k,lstm,10,True,2,Test2,0.5210000276565552,0.5210000276565552,0.5210000276565552
SP,SP8,1k,lstm,10,False,3,Test1,0.902999997138977,0.902999997138977,0.902999997138977
SP,SP8,1k,lstm,10,False,3,Test2,0.5239999890327454,0.5239999890327454,0.5239999890327454
SP,SP8,1k,lstm,10,True,3,Test1,0.8899999856948853,0.8899999856948853,0.8899999856948853
SP,SP8,1k,lstm,10,True,3,Test2,0.5450000166893005,0.5450000166893005,0.5450000166893005
SP,SP8,1k,lstm,30,False,1,Test1,0.890999972820282,0.890999972820282,0.890999972820282
SP,SP8,1k,lstm,30,False,1,Test2,0.503000020980835,0.503000020980835,0.503000020980835
SP,SP8,1k,lstm,30,True,1,Test1,0.8930000066757202,0.8930000066757202,0.8930000066757202
SP,SP8,1k,lstm,30,True,1,Test2,0.503000020980835,0.503000020980835,0.503000020980835
SP,SP8,1k,lstm,30,False,2,Test1,0.8859999775886536,0.8859999775886536,0.8859999775886536
SP,SP8,1k,lstm,30,False,2,Test2,0.5049999952316284,0.5049999952316284,0.5049999952316284
SP,SP8,1k,lstm,30,True,2,Test1,0.8830000162124634,0.8830000162124634,0.8830000162124634
SP,SP8,1k,lstm,30,True,2,Test2,0.5139999985694885,0.5139999985694885,0.5139999985694885
SP,SP8,1k,lstm,30,False,3,Test1,0.8859999775886536,0.8859999775886536,0.8859999775886536
SP,SP8,1k,lstm,30,False,3,Test2,0.5090000033378601,0.5090000033378601,0.5090000033378601
SP,SP8,1k,lstm,30,True,3,Test1,0.8870000243186951,0.8870000243186951,0.8870000243186951
SP,SP8,1k,lstm,30,True,3,Test2,0.5049999952316284,0.5049999952316284,0.5049999952316284
SP,SP8,1k,lstm,100,False,1,Test1,0.8889999985694885,0.8889999985694885,0.8889999985694885
SP,SP8,1k,lstm,100,False,1,Test2,0.5170000195503235,0.5170000195503235,0.5170000195503235
SP,SP8,1k,lstm,100,True,1,Test1,0.8840000033378601,0.8840000033378601,0.8840000033378601
SP,SP8,1k,lstm,100,True,1,Test2,0.5080000162124634,0.5080000162124634,0.5080000162124634
SP,SP8,1k,lstm,100,False,2,Test1,0.8840000033378601,0.8840000033378601,0.8840000033378601
SP,SP8,1k,lstm,100,False,2,Test2,0.515999972820282,0.515999972820282,0.515999972820282
SP,SP8,1k,lstm,100,True,2,Test1,0.9070000052452087,0.9070000052452087,0.9070000052452087
SP,SP8,1k,lstm,100,True,2,Test2,0.5080000162124634,0.5080000162124634,0.5080000162124634
SP,SP8,1k,lstm,100,False,3,Test1,0.8889999985694885,0.8889999985694885,0.8889999985694885
SP,SP8,1k,lstm,100,False,3,Test2,0.5210000276565552,0.5210000276565552,0.5210000276565552
SP,SP8,1k,lstm,100,True,3,Test1,0.8859999775886536,0.8859999775886536,0.8859999775886536
SP,SP8,1k,lstm,100,True,3,Test2,0.5,0.5,0.5
SP,SP8,1k,s-rnn,10,False,1,Test1,0.8769999742507935,0.8769999742507935,0.8769999742507935
SP,SP8,1k,s-rnn,10,False,1,Test2,0.5139999985694885,0.5139999985694885,0.5139999985694885
SP,SP8,1k,s-rnn,10,True,1,Test1,0.8840000033378601,0.8840000033378601,0.8840000033378601
SP,SP8,1k,s-rnn,10,True,1,Test2,0.5099999904632568,0.5099999904632568,0.5099999904632568
SP,SP8,1k,s-rnn,10,False,2,Test1,0.8949999809265137,0.8949999809265137,0.8949999809265137
SP,SP8,1k,s-rnn,10,False,2,Test2,0.5339999794960022,0.5339999794960022,0.5339999794960022
SP,SP8,1k,s-rnn,10,True,2,Test1,0.871999979019165,0.871999979019165,0.871999979019165
SP,SP8,1k,s-rnn,10,True,2,Test2,0.5099999904632568,0.5099999904632568,0.5099999904632568
SP,SP8,1k,s-rnn,10,False,3,Test1,0.8769999742507935,0.8769999742507935,0.8769999742507935
SP,SP8,1k,s-rnn,10,False,3,Test2,0.5320000052452087,0.5320000052452087,0.5320000052452087
SP,SP8,1k,s-rnn,10,True,3,Test1,0.8740000128746033,0.8740000128746033,0.8740000128746033
SP,SP8,1k,s-rnn,10,True,3,Test2,0.6169999837875366,0.6169999837875366,0.6169999837875366
SP,SP8,1k,s-rnn,30,False,1,Test1,0.875,0.875,0.875
SP,SP8,1k,s-rnn,30,False,1,Test2,0.5099999904632568,0.5099999904632568,0.5099999904632568
SP,SP8,1k,s-rnn,30,True,1,Test1,0.8930000066757202,0.8930000066757202,0.8930000066757202
SP,SP8,1k,s-rnn,30,True,1,Test2,0.5009999871253967,0.5009999871253967,0.5009999871253967
SP,SP8,1k,s-rnn,30,False,2,Test1,0.8700000047683716,0.8700000047683716,0.8700000047683716
SP,SP8,1k,s-rnn,30,False,2,Test2,0.5109999775886536,0.5109999775886536,0.5109999775886536
SP,SP8,1k,s-rnn,30,True,2,Test1,0.8960000276565552,0.8960000276565552,0.8960000276565552
SP,SP8,1k,s-rnn,30,True,2,Test2,0.5630000233650208,0.5630000233650208,0.5630000233650208
SP,SP8,1k,s-rnn,30,False,3,Test1,0.8730000257492065,0.8730000257492065,0.8730000257492065
SP,SP8,1k,s-rnn,30,False,3,Test2,0.5040000081062317,0.5040000081062317,0.5040000081062317
SP,SP8,1k,s-rnn,30,True,3,Test1,0.8970000147819519,0.8970000147819519,0.8970000147819519
SP,SP8,1k,s-rnn,30,True,3,Test2,0.5370000004768372,0.5370000004768372,0.5370000004768372
SP,SP8,1k,s-rnn,100,False,1,Test1,0.8700000047683716,0.8700000047683716,0.8700000047683716
SP,SP8,1k,s-rnn,100,False,1,Test2,0.578000009059906,0.578000009059906,0.578000009059906
SP,SP8,1k,s-rnn,100,True,1,Test1,0.8650000095367432,0.8650000095367432,0.8650000095367432
SP,SP8,1k,s-rnn,100,True,1,Test2,0.5669999718666077,0.5669999718666077,0.5669999718666077
SP,SP8,1k,s-rnn,100,False,2,Test1,0.8709999918937683,0.8709999918937683,0.8709999918937683
SP,SP8,1k,s-rnn,100,False,2,Test2,0.5220000147819519,0.5220000147819519,0.5220000147819519
SP,SP8,1k,s-rnn,100,True,2,Test1,0.8859999775886536,0.8859999775886536,0.8859999775886536
SP,SP8,1k,s-rnn,100,True,2,Test2,0.5429999828338623,0.5429999828338623,0.5429999828338623
SP,SP8,1k,s-rnn,100,False,3,Test1,0.8610000014305115,0.8610000014305115,0.8610000014305115
SP,SP8,1k,s-rnn,100,False,3,Test2,0.5559999942779541,0.5559999942779541,0.5559999942779541
SP,SP8,1k,s-rnn,100,True,3,Test1,0.878000020980835,0.878000020980835,0.878000020980835
SP,SP8,1k,s-rnn,100,True,3,Test2,0.5690000057220459,0.5690000057220459,0.5690000057220459
SP,SP8,10k,lstm,10,False,1,Test1,0.8999000191688538,0.8999000191688538,0.8999000191688538
SP,SP8,10k,lstm,10,False,1,Test2,0.5117999911308289,0.5117999911308289,0.5117999911308289
SP,SP8,10k,lstm,10,True,1,Test1,0.9354000091552734,0.9354000091552734,0.9354000091552734
SP,SP8,10k,lstm,10,True,1,Test2,0.5370000004768372,0.5370000004768372,0.5370000004768372
SP,SP8,10k,lstm,10,False,2,Test1,0.935699999332428,0.935699999332428,0.935699999332428
SP,SP8,10k,lstm,10,False,2,Test2,0.548799991607666,0.548799991607666,0.548799991607666
SP,SP8,10k,lstm,10,True,2,Test1,0.9111999869346619,0.9111999869346619,0.9111999869346619
