Lang Class,Lang Subclass,Train Size,Model,Embd Dim,EarlyStop,Round #,Test Set,Accuracy,Recall,Precision
SL,SL2,1k,lstm,10,False,1,Test1,0.8659999966621399,0.8659999966621399,0.8659999966621399
SL,SL2,1k,lstm,10,False,1,Test2,0.8759999871253967,0.8759999871253967,0.8759999871253967
SL,SL2,1k,lstm,10,True,1,Test1,0.718999981880188,0.718999981880188,0.718999981880188
SL,SL2,1k,lstm,10,True,1,Test2,0.6850000023841858,0.6850000023841858,0.6850000023841858
SL,SL2,1k,lstm,10,False,2,Test1,0.8450000286102295,0.8450000286102295,0.8450000286102295
SL,SL2,1k,lstm,10,False,2,Test2,0.8659999966621399,0.8659999966621399,0.8659999966621399
SL,SL2,1k,lstm,10,True,2,Test1,0.7229999899864197,0.7229999899864197,0.7229999899864197
SL,SL2,1k,lstm,10,True,2,Test2,0.6980000138282776,0.6980000138282776,0.6980000138282776
SL,SL2,1k,lstm,10,False,3,Test1,0.8370000123977661,0.8370000123977661,0.8370000123977661
SL,SL2,1k,lstm,10,False,3,Test2,0.8360000252723694,0.8360000252723694,0.8360000252723694
SL,SL2,1k,lstm,10,True,3,Test1,0.7350000143051147,0.7350000143051147,0.7350000143051147
SL,SL2,1k,lstm,10,True,3,Test2,0.6990000009536743,0.6990000009536743,0.6990000009536743
SL,SL2,1k,lstm,30,False,1,Test1,0.902999997138977,0.902999997138977,0.902999997138977
SL,SL2,1k,lstm,30,False,1,Test2,0.9229999780654907,0.9229999780654907,0.9229999780654907
SL,SL2,1k,lstm,30,True,1,Test1,0.6830000281333923,0.6830000281333923,0.6830000281333923
SL,SL2,1k,lstm,30,True,1,Test2,0.609000027179718,0.609000027179718,0.609000027179718
SL,SL2,1k,lstm,30,False,2,Test1,0.9179999828338623,0.9179999828338623,0.9179999828338623
SL,SL2,1k,lstm,30,False,2,Test2,0.9629999995231628,0.9629999995231628,0.9629999995231628
SL,SL2,1k,lstm,30,True,2,Test1,0.699999988079071,0.699999988079071,0.699999988079071
SL,SL2,1k,lstm,30,True,2,Test2,0.6669999957084656,0.6669999957084656,0.6669999957084656
SL,SL2,1k,lstm,30,False,3,Test1,0.906000018119812,0.906000018119812,0.906000018119812
SL,SL2,1k,lstm,30,False,3,Test2,0.9409999847412109,0.9409999847412109,0.9409999847412109
SL,SL2,1k,lstm,30,True,3,Test1,0.7229999899864197,0.7229999899864197,0.7229999899864197
SL,SL2,1k,lstm,30,True,3,Test2,0.6769999861717224,0.6769999861717224,0.6769999861717224
SL,SL2,1k,lstm,100,False,1,Test1,0.8859999775886536,0.8859999775886536,0.8859999775886536
SL,SL2,1k,lstm,100,False,1,Test2,0.9490000009536743,0.9490000009536743,0.9490000009536743
SL,SL2,1k,lstm,100,True,1,Test1,0.9110000133514404,0.9110000133514404,0.9110000133514404
SL,SL2,1k,lstm,100,True,1,Test2,0.949999988079071,0.949999988079071,0.949999988079071
SL,SL2,1k,lstm,100,False,2,Test1,0.8970000147819519,0.8970000147819519,0.8970000147819519
SL,SL2,1k,lstm,100,False,2,Test2,0.9079999923706055,0.9079999923706055,0.9079999923706055
SL,SL2,1k,lstm,100,True,2,Test1,0.9110000133514404,0.9110000133514404,0.9110000133514404
SL,SL2,1k,lstm,100,True,2,Test2,0.949999988079071,0.949999988079071,0.949999988079071
SL,SL2,1k,lstm,100,False,3,Test1,0.8740000128746033,0.8740000128746033,0.8740000128746033
SL,SL2,1k,lstm,100,False,3,Test2,0.9150000214576721,0.9150000214576721,0.9150000214576721
SL,SL2,1k,lstm,100,True,3,Test1,0.9200000166893005,0.9200000166893005,0.9200000166893005
SL,SL2,1k,lstm,100,True,3,Test2,0.9610000252723694,0.9610000252723694,0.9610000252723694
SL,SL2,1k,s-rnn,10,False,1,Test1,0.843999981880188,0.843999981880188,0.843999981880188
SL,SL2,1k,s-rnn,10,False,1,Test2,0.8140000104904175,0.8140000104904175,0.8140000104904175
SL,SL2,1k,s-rnn,10,True,1,Test1,0.7680000066757202,0.7680000066757202,0.7680000066757202
SL,SL2,1k,s-rnn,10,True,1,Test2,0.6959999799728394,0.6959999799728394,0.6959999799728394
SL,SL2,1k,s-rnn,10,False,2,Test1,0.7919999957084656,0.7919999957084656,0.7919999957084656
SL,SL2,1k,s-rnn,10,False,2,Test2,0.7429999709129333,0.7429999709129333,0.7429999709129333
SL,SL2,1k,s-rnn,10,True,2,Test1,0.7879999876022339,0.7879999876022339,0.7879999876022339
SL,SL2,1k,s-rnn,10,True,2,Test2,0.7080000042915344,0.7080000042915344,0.7080000042915344
SL,SL2,1k,s-rnn,10,False,3,Test1,0.8790000081062317,0.8790000081062317,0.8790000081062317
SL,SL2,1k,s-rnn,10,False,3,Test2,0.878000020980835,0.878000020980835,0.878000020980835
SL,SL2,1k,s-rnn,10,True,3,Test1,0.777999997138977,0.777999997138977,0.777999997138977
SL,SL2,1k,s-rnn,10,True,3,Test2,0.699999988079071,0.699999988079071,0.699999988079071
SL,SL2,1k,s-rnn,30,False,1,Test1,0.8820000290870667,0.8820000290870667,0.8820000290870667
SL,SL2,1k,s-rnn,30,False,1,Test2,0.9049999713897705,0.9049999713897705,0.9049999713897705
SL,SL2,1k,s-rnn,30,True,1,Test1,0.8019999861717224,0.8019999861717224,0.8019999861717224
SL,SL2,1k,s-rnn,30,True,1,Test2,0.7749999761581421,0.7749999761581421,0.7749999761581421
SL,SL2,1k,s-rnn,30,False,2,Test1,0.8870000243186951,0.8870000243186951,0.8870000243186951
SL,SL2,1k,s-rnn,30,False,2,Test2,0.8820000290870667,0.8820000290870667,0.8820000290870667
SL,SL2,1k,s-rnn,30,True,2,Test1,0.8489999771118164,0.8489999771118164,0.8489999771118164
SL,SL2,1k,s-rnn,30,True,2,Test2,0.8669999837875366,0.8669999837875366,0.8669999837875366
SL,SL2,1k,s-rnn,30,False,3,Test1,0.8889999985694885,0.8889999985694885,0.8889999985694885
SL,SL2,1k,s-rnn,30,False,3,Test2,0.9190000295639038,0.9190000295639038,0.9190000295639038
SL,SL2,1k,s-rnn,30,True,3,Test1,0.796999990940094,0.796999990940094,0.796999990940094
SL,SL2,1k,s-rnn,30,True,3,Test2,0.7229999899864197,0.7229999899864197,0.7229999899864197
SL,SL2,1k,s-rnn,100,False,1,Test1,0.8870000243186951,0.8870000243186951,0.8870000243186951
SL,SL2,1k,s-rnn,100,False,1,Test2,0.906000018119812,0.906000018119812,0.906000018119812
SL,SL2,1k,s-rnn,100,True,1,Test1,0.8389999866485596,0.8389999866485596,0.8389999866485596
SL,SL2,1k,s-rnn,100,True,1,Test2,0.7590000033378601,0.7590000033378601,0.7590000033378601
SL,SL2,1k,s-rnn,100,False,2,Test1,0.843999981880188,0.843999981880188,0.843999981880188
SL,SL2,1k,s-rnn,100,False,2,Test2,0.8009999990463257,0.8009999990463257,0.8009999990463257
SL,SL2,1k,s-rnn,100,True,2,Test1,0.8059999942779541,0.8059999942779541,0.8059999942779541
SL,SL2,1k,s-rnn,100,True,2,Test2,0.765999972820282,0.765999972820282,0.765999972820282
SL,SL2,1k,s-rnn,100,False,3,Test1,0.8830000162124634,0.8830000162124634,0.8830000162124634
SL,SL2,1k,s-rnn,100,False,3,Test2,0.906000018119812,0.906000018119812,0.906000018119812
SL,SL2,1k,s-rnn,100,True,3,Test1,0.8140000104904175,0.8140000104904175,0.8140000104904175
SL,SL2,1k,s-rnn,100,True,3,Test2,0.8140000104904175,0.8140000104904175,0.8140000104904175
SL,SL2,10k,lstm,10,False,1,Test1,0.9990000128746033,0.9990000128746033,0.9990000128746033
SL,SL2,10k,lstm,10,False,1,Test2,0.9998000264167786,0.9998000264167786,0.9998000264167786
SL,SL2,10k,lstm,10,True,1,Test1,0.9779000282287598,0.9779000282287598,0.9779000282287598
SL,SL2,10k,lstm,10,True,1,Test2,0.9717000126838684,0.9717000126838684,0.9717000126838684
SL,SL2,10k,lstm,10,False,2,Test1,0.9976999759674072,0.9976999759674072,0.9976999759674072
SL,SL2,10k,lstm,10,False,2,Test2,0.9986000061035156,0.9986000061035156,0.9986000061035156
SL,SL2,10k,lstm,10,True,2,Test1,0.9907000064849854,0.9907000064849854,0.9907000064849854
SL,SL2,10k,lstm,10,True,2,Test2,0.9941999912261963,0.9941999912261963,0.9941999912261963
SL,SL2,10k,lstm,30,False,1,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,30,False,1,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,30,True,1,Test1,0.9998000264167786,0.9998000264167786,0.9998000264167786
SL,SL2,10k,lstm,30,True,1,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,30,False,2,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,30,False,2,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,30,True,2,Test1,0.9998000264167786,0.9998000264167786,0.9998000264167786
SL,SL2,10k,lstm,30,True,2,Test2,0.9994999766349792,0.9994999766349792,0.9994999766349792
SL,SL2,10k,lstm,100,False,1,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,False,1,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,1,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,1,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,100,False,2,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,False,2,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,2,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,2,Test2,1.0,1.0,1.0
SL,SL2,10k,s-rnn,10,False,1,Test1,0.984499990940094,0.984499990940094,0.984499990940094
