Lang Class,Lang Subclass,Train Size,Model,Embd Dim,EarlyStop,Round #,Test Set,Accuracy,Recall,Precision
SL,SL2,1k,lstm,10,False,1,Test1,0.8500000238418579,0.8500000238418579,0.8500000238418579
SL,SL2,1k,lstm,10,False,1,Test2,0.859000027179718,0.859000027179718,0.859000027179718
SL,SL2,1k,lstm,10,True,1,Test1,0.8169999718666077,0.8169999718666077,0.8169999718666077
SL,SL2,1k,lstm,10,True,1,Test2,0.7850000262260437,0.7850000262260437,0.7850000262260437
SL,SL2,1k,lstm,10,False,2,Test1,0.8460000157356262,0.8460000157356262,0.8460000157356262
SL,SL2,1k,lstm,10,False,2,Test2,0.843999981880188,0.843999981880188,0.843999981880188
SL,SL2,1k,lstm,10,True,2,Test1,0.7929999828338623,0.7929999828338623,0.7929999828338623
SL,SL2,1k,lstm,10,True,2,Test2,0.7279999852180481,0.7279999852180481,0.7279999852180481
SL,SL2,1k,lstm,10,False,3,Test1,0.8550000190734863,0.8550000190734863,0.8550000190734863
SL,SL2,1k,lstm,10,False,3,Test2,0.8510000109672546,0.8510000109672546,0.8510000109672546
SL,SL2,1k,lstm,10,True,3,Test1,0.8399999737739563,0.8399999737739563,0.8399999737739563
SL,SL2,1k,lstm,10,True,3,Test2,0.8790000081062317,0.8790000081062317,0.8790000081062317
SL,SL2,1k,lstm,30,False,1,Test1,0.8920000195503235,0.8920000195503235,0.8920000195503235
SL,SL2,1k,lstm,30,False,1,Test2,0.9269999861717224,0.9269999861717224,0.9269999861717224
SL,SL2,1k,lstm,30,True,1,Test1,0.878000020980835,0.878000020980835,0.878000020980835
SL,SL2,1k,lstm,30,True,1,Test2,0.8949999809265137,0.8949999809265137,0.8949999809265137
SL,SL2,1k,lstm,30,False,2,Test1,0.9079999923706055,0.9079999923706055,0.9079999923706055
SL,SL2,1k,lstm,30,False,2,Test2,0.9610000252723694,0.9610000252723694,0.9610000252723694
SL,SL2,1k,lstm,30,True,2,Test1,0.8889999985694885,0.8889999985694885,0.8889999985694885
SL,SL2,1k,lstm,30,True,2,Test2,0.9240000247955322,0.9240000247955322,0.9240000247955322
SL,SL2,1k,lstm,30,False,3,Test1,0.9070000052452087,0.9070000052452087,0.9070000052452087
SL,SL2,1k,lstm,30,False,3,Test2,0.9509999752044678,0.9509999752044678,0.9509999752044678
SL,SL2,1k,lstm,30,True,3,Test1,0.824999988079071,0.824999988079071,0.824999988079071
SL,SL2,1k,lstm,30,True,3,Test2,0.7459999918937683,0.7459999918937683,0.7459999918937683
SL,SL2,1k,lstm,100,False,1,Test1,0.9319999814033508,0.9319999814033508,0.9319999814033508
SL,SL2,1k,lstm,100,False,1,Test2,0.9800000190734863,0.9800000190734863,0.9800000190734863
SL,SL2,1k,lstm,100,True,1,Test1,0.8690000176429749,0.8690000176429749,0.8690000176429749
SL,SL2,1k,lstm,100,True,1,Test2,0.890999972820282,0.890999972820282,0.890999972820282
SL,SL2,1k,lstm,100,False,2,Test1,0.921999990940094,0.921999990940094,0.921999990940094
SL,SL2,1k,lstm,100,False,2,Test2,0.9750000238418579,0.9750000238418579,0.9750000238418579
SL,SL2,1k,lstm,100,True,2,Test1,0.7919999957084656,0.7919999957084656,0.7919999957084656
SL,SL2,1k,lstm,100,True,2,Test2,0.7400000095367432,0.7400000095367432,0.7400000095367432
SL,SL2,1k,lstm,100,False,3,Test1,0.9409999847412109,0.9409999847412109,0.9409999847412109
SL,SL2,1k,lstm,100,False,3,Test2,0.9900000095367432,0.9900000095367432,0.9900000095367432
SL,SL2,1k,lstm,100,True,3,Test1,0.9079999923706055,0.9079999923706055,0.9079999923706055
SL,SL2,1k,lstm,100,True,3,Test2,0.9380000233650208,0.9380000233650208,0.9380000233650208
SL,SL2,1k,s-rnn,10,False,1,Test1,0.8389999866485596,0.8389999866485596,0.8389999866485596
SL,SL2,1k,s-rnn,10,False,1,Test2,0.7950000166893005,0.7950000166893005,0.7950000166893005
SL,SL2,1k,s-rnn,10,True,1,Test1,0.8019999861717224,0.8019999861717224,0.8019999861717224
SL,SL2,1k,s-rnn,10,True,1,Test2,0.7360000014305115,0.7360000014305115,0.7360000014305115
SL,SL2,1k,s-rnn,10,False,2,Test1,0.8339999914169312,0.8339999914169312,0.8339999914169312
SL,SL2,1k,s-rnn,10,False,2,Test2,0.7590000033378601,0.7590000033378601,0.7590000033378601
SL,SL2,1k,s-rnn,10,True,2,Test1,0.765999972820282,0.765999972820282,0.765999972820282
SL,SL2,1k,s-rnn,10,True,2,Test2,0.7070000171661377,0.7070000171661377,0.7070000171661377
SL,SL2,1k,s-rnn,10,False,3,Test1,0.8899999856948853,0.8899999856948853,0.8899999856948853
SL,SL2,1k,s-rnn,10,False,3,Test2,0.9430000185966492,0.9430000185966492,0.9430000185966492
SL,SL2,1k,s-rnn,10,True,3,Test1,0.7590000033378601,0.7590000033378601,0.7590000033378601
SL,SL2,1k,s-rnn,10,True,3,Test2,0.6620000004768372,0.6620000004768372,0.6620000004768372
SL,SL2,1k,s-rnn,30,False,1,Test1,0.9020000100135803,0.9020000100135803,0.9020000100135803
SL,SL2,1k,s-rnn,30,False,1,Test2,0.8669999837875366,0.8669999837875366,0.8669999837875366
SL,SL2,1k,s-rnn,30,True,1,Test1,0.8619999885559082,0.8619999885559082,0.8619999885559082
SL,SL2,1k,s-rnn,30,True,1,Test2,0.9049999713897705,0.9049999713897705,0.9049999713897705
SL,SL2,1k,s-rnn,30,False,2,Test1,0.8999999761581421,0.8999999761581421,0.8999999761581421
SL,SL2,1k,s-rnn,30,False,2,Test2,0.9200000166893005,0.9200000166893005,0.9200000166893005
SL,SL2,1k,s-rnn,30,True,2,Test1,0.8999999761581421,0.8999999761581421,0.8999999761581421
SL,SL2,1k,s-rnn,30,True,2,Test2,0.9240000247955322,0.9240000247955322,0.9240000247955322
SL,SL2,1k,s-rnn,30,False,3,Test1,0.9070000052452087,0.9070000052452087,0.9070000052452087
SL,SL2,1k,s-rnn,30,False,3,Test2,0.8700000047683716,0.8700000047683716,0.8700000047683716
SL,SL2,1k,s-rnn,30,True,3,Test1,0.7820000052452087,0.7820000052452087,0.7820000052452087
SL,SL2,1k,s-rnn,30,True,3,Test2,0.7139999866485596,0.7139999866485596,0.7139999866485596
SL,SL2,1k,s-rnn,100,False,1,Test1,0.9229999780654907,0.9229999780654907,0.9229999780654907
SL,SL2,1k,s-rnn,100,False,1,Test2,0.9330000281333923,0.9330000281333923,0.9330000281333923
SL,SL2,1k,s-rnn,100,True,1,Test1,0.8289999961853027,0.8289999961853027,0.8289999961853027
SL,SL2,1k,s-rnn,100,True,1,Test2,0.8579999804496765,0.8579999804496765,0.8579999804496765
SL,SL2,1k,s-rnn,100,False,2,Test1,0.9160000085830688,0.9160000085830688,0.9160000085830688
SL,SL2,1k,s-rnn,100,False,2,Test2,0.9179999828338623,0.9179999828338623,0.9179999828338623
SL,SL2,1k,s-rnn,100,True,2,Test1,0.7919999957084656,0.7919999957084656,0.7919999957084656
SL,SL2,1k,s-rnn,100,True,2,Test2,0.7329999804496765,0.7329999804496765,0.7329999804496765
SL,SL2,1k,s-rnn,100,False,3,Test1,0.9120000004768372,0.9120000004768372,0.9120000004768372
SL,SL2,1k,s-rnn,100,False,3,Test2,0.8840000033378601,0.8840000033378601,0.8840000033378601
SL,SL2,1k,s-rnn,100,True,3,Test1,0.8289999961853027,0.8289999961853027,0.8289999961853027
SL,SL2,1k,s-rnn,100,True,3,Test2,0.8159999847412109,0.8159999847412109,0.8159999847412109
SL,SL2,10k,lstm,10,False,1,Test1,0.9987000226974487,0.9987000226974487,0.9987000226974487
SL,SL2,10k,lstm,10,False,1,Test2,0.9983999729156494,0.9983999729156494,0.9983999729156494
SL,SL2,10k,lstm,10,True,1,Test1,0.9563999772071838,0.9563999772071838,0.9563999772071838
SL,SL2,10k,lstm,10,True,1,Test2,0.972100019454956,0.972100019454956,0.972100019454956
SL,SL2,10k,lstm,10,False,2,Test1,0.995199978351593,0.995199978351593,0.995199978351593
SL,SL2,10k,lstm,10,False,2,Test2,0.991599977016449,0.991599977016449,0.991599977016449
SL,SL2,10k,lstm,10,True,2,Test1,0.9828000068664551,0.9828000068664551,0.9828000068664551
SL,SL2,10k,lstm,10,True,2,Test2,0.974399983882904,0.974399983882904,0.974399983882904
SL,SL2,10k,lstm,30,False,1,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,30,False,1,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,30,True,1,Test1,0.9997000098228455,0.9997000098228455,0.9997000098228455
SL,SL2,10k,lstm,30,True,1,Test2,0.9998999834060669,0.9998999834060669,0.9998999834060669
SL,SL2,10k,lstm,30,False,2,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,30,False,2,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,30,True,2,Test1,0.9997000098228455,0.9997000098228455,0.9997000098228455
SL,SL2,10k,lstm,30,True,2,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,100,False,1,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,False,1,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,1,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,1,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,100,False,2,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,False,2,Test2,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,2,Test1,1.0,1.0,1.0
SL,SL2,10k,lstm,100,True,2,Test2,1.0,1.0,1.0
SL,SL2,10k,s-rnn,10,False,1,Test1,0.9972000122070312,0.9972000122070312,0.9972000122070312
SL,SL2,10k,s-rnn,10,False,1,Test2,0.9975000023841858,0.9975000023841858,0.9975000023841858
SL,SL2,10k,s-rnn,10,True,1,Test1,0.9847000241279602,0.9847000241279602,0.9847000241279602
SL,SL2,10k,s-rnn,10,True,1,Test2,0.9907000064849854,0.9907000064849854,0.9907000064849854
SL,SL2,10k,s-rnn,10,False,2,Test1,0.9975000023841858,0.9975000023841858,0.9975000023841858
SL,SL2,10k,s-rnn,10,False,2,Test2,0.9646999835968018,0.9646999835968018,0.9646999835968018
SL,SL2,10k,s-rnn,10,True,2,Test1,0.9639000296592712,0.9639000296592712,0.9639000296592712
SL,SL2,10k,s-rnn,10,True,2,Test2,0.9690999984741211,0.9690999984741211,0.9690999984741211
SL,SL2,10k,s-rnn,30,False,1,Test1,1.0,1.0,1.0
SL,SL2,10k,s-rnn,30,False,1,Test2,0.9998000264167786,0.9998000264167786,0.9998000264167786
SL,SL2,10k,s-rnn,30,True,1,Test1,0.9988999962806702,0.9988999962806702,0.9988999962806702
SL,SL2,10k,s-rnn,30,True,1,Test2,0.9990000128746033,0.9990000128746033,0.9990000128746033
SL,SL2,10k,s-rnn,30,False,2,Test1,1.0,1.0,1.0
SL,SL2,10k,s-rnn,30,False,2,Test2,0.9998999834060669,0.9998999834060669,0.9998999834060669
SL,SL2,10k,s-rnn,30,True,2,Test1,0.9994999766349792,0.9994999766349792,0.9994999766349792
SL,SL2,10k,s-rnn,30,True,2,Test2,0.9993000030517578,0.9993000030517578,0.9993000030517578
SL,SL2,10k,s-rnn,100,False,1,Test1,1.0,1.0,1.0
